x-values   |D0              |D1              |D2              |D3              |D4              |D5              |D6              |D7              |D8              |D9              |
-2.0000    |-2.6970         |-0.2745         |0.8040          |-0.4126         |0.0711          |0.0135          |-0.0011         |-0.0000         |0.0001          |0.0000          |
-1.5556    |-2.8190         |0.4402          |0.2539          |-0.2862         |0.1010          |0.0106          |-0.0012         |0.0002          |0.0001          |0.0000          |
-1.1111    |-2.6234         |0.6659          |-0.1277         |-0.1067         |0.1245          |0.0073          |-0.0006         |0.0005          |0.0000          |0.0000          |
-0.6667    |-2.3274         |0.5524          |-0.2700         |0.1147          |0.1408          |0.0057          |0.0009          |0.0000          |0.0000          |0.0000          |
-0.2222    |-2.0819         |0.3124          |-0.1171         |0.3650          |0.1534          |0.0080          |0.0000          |0.0000          |0.0000          |0.0000          |
0.2222     |-1.9431         |0.2083          |0.3695          |0.6377          |0.1711          |0.0000          |0.0000          |0.0000          |0.0000          |0.0000          |
0.6667     |-1.8505         |0.5367          |1.2197          |0.9418          |0.0000          |0.0000          |0.0000          |0.0000          |0.0000          |0.0000          |
1.1111     |-1.6120         |1.6209          |2.4755          |0.0000          |0.0000          |0.0000          |0.0000          |0.0000          |0.0000          |0.0000          |
1.5556     |-0.8916         |3.8213          |0.0000          |0.0000          |0.0000          |0.0000          |0.0000          |0.0000          |0.0000          |0.0000          |
2.0000     |0.8068          |0.0000          |0.0000          |0.0000          |0.0000          |0.0000          |0.0000          |0.0000          |0.0000          |0.0000          |
